2026-06-16 19:49:07.300882 |  | 801697 | ALT:0 | SPD:449 | LAT:0.0 | LON:0.0
2026-06-16 19:50:38.748280 | CALLSIGN:AXB1547 | 801697
2026-06-16 20:56:37.680311 |  | 80157C | ALT:36025 | SPD:448 | LAT:0.0 | LON:0.0
2026-06-16 20:56:42.857897 |  | 70E048 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 20:56:42.858462 |  | 8013F3 | ALT:0 | SPD:429 | LAT:0.0 | LON:0.0
2026-06-16 20:56:48.100931 | CALLSIGN:AKJ1804 | 80157C
2026-06-16 20:56:58.390453 | CALLSIGN:IGO2232 | 8013F3
2026-06-16 21:03:21.110256 |  | 80148F | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 21:03:47.325536 |  | 781CFD | ALT:33000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 21:04:34.186394 | CALLSIGN:CSS160 | 781CFD
2026-06-16 21:20:16.370271 |  | 800D08 | ALT:14075 | SPD:355 | LAT:0.0 | LON:0.0
2026-06-16 21:20:32.099629 | CALLSIGN:SEJ2473 | 800D08
2026-06-16 21:20:53.006780 |  | 8013E2 | ALT:15675 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 21:20:58.249785 |  | 80169C | ALT:0 | SPD:318 | LAT:0.0 | LON:0.0
2026-06-16 21:21:13.978792 | CALLSIGN:IGO272K | 80169C
2026-06-16 21:24:17.879937 |  | 8014BB | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 21:29:01.475657 | CALLSIGN:IGO1701 | 801647
2026-06-16 21:32:21.113484 |  | 8852E4 | ALT:38000 | SPD:492 | LAT:0.0 | LON:0.0
2026-06-16 21:33:55.554719 |  | 801403 | ALT:9275 | SPD:268 | LAT:0.0 | LON:0.0
2026-06-16 21:35:34.848717 |  | 801874 | ALT:0 | SPD:502 | LAT:0.0 | LON:0.0
2026-06-16 21:35:55.755607 | CALLSIGN:AXB1671 | 801874
